dataset,robot_type,perspective,src_img,tgt_img,action
AIRBOT_MMK2_square_arrangement,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_square_arrangement/images/ep_17/frame_002610.png,AIRBOT_MMK2_square_arrangement/images/ep_17/frame_002620.png,AIRBOT_MMK2_square_arrangement/actions/ep_17/action_002610to002619.npy
AIRBOT_MMK2_take_down_paper_cup,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_take_down_paper_cup/images/ep_4/frame_000672.png,AIRBOT_MMK2_take_down_paper_cup/images/ep_4/frame_000682.png,AIRBOT_MMK2_take_down_paper_cup/actions/ep_4/action_000672to000681.npy
G1edu-u3_place_bottle_c,,1st,G1edu-u3_place_bottle_c/images/ep_23/frame_006013.png,G1edu-u3_place_bottle_c/images/ep_23/frame_006023.png,G1edu-u3_place_bottle_c/actions/ep_23/action_006013to006022.npy
AIRBOT_MMK2_cake_storage,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_cake_storage/images/ep_49/frame_004637.png,AIRBOT_MMK2_cake_storage/images/ep_49/frame_004647.png,AIRBOT_MMK2_cake_storage/actions/ep_49/action_004637to004646.npy
G1edu-u3_put_the_water_bottle_on_the_table_d,,1st,G1edu-u3_put_the_water_bottle_on_the_table_d/images/ep_3/frame_000774.png,G1edu-u3_put_the_water_bottle_on_the_table_d/images/ep_3/frame_000784.png,G1edu-u3_put_the_water_bottle_on_the_table_d/actions/ep_3/action_000774to000783.npy
AIRBOT_MMK2_storage_tissue_paper,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_storage_tissue_paper/images/ep_15/frame_002378.png,AIRBOT_MMK2_storage_tissue_paper/images/ep_15/frame_002388.png,AIRBOT_MMK2_storage_tissue_paper/actions/ep_15/action_002378to002387.npy
AIRBOT_MMK2_mobile_car,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_mobile_car/images/ep_16/frame_002453.png,AIRBOT_MMK2_mobile_car/images/ep_16/frame_002463.png,AIRBOT_MMK2_mobile_car/actions/ep_16/action_002453to002462.npy
G1edu-u3_pick_cup_a,,1st,G1edu-u3_pick_cup_a/images/ep_21/frame_007252.png,G1edu-u3_pick_cup_a/images/ep_21/frame_007262.png,G1edu-u3_pick_cup_a/actions/ep_21/action_007252to007261.npy
G1edu-u3_place_bottle_c,,1st,G1edu-u3_place_bottle_c/images/ep_14/frame_003936.png,G1edu-u3_place_bottle_c/images/ep_14/frame_003946.png,G1edu-u3_place_bottle_c/actions/ep_14/action_003936to003945.npy
G1edu-u3_put_the_cup_b,,1st,G1edu-u3_put_the_cup_b/images/ep_1/frame_000281.png,G1edu-u3_put_the_cup_b/images/ep_1/frame_000291.png,G1edu-u3_put_the_cup_b/actions/ep_1/action_000281to000290.npy
AIRBOT_MMK2_place_the_umbrella_and_the_ruler,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_place_the_umbrella_and_the_ruler/images/ep_2/frame_000557.png,AIRBOT_MMK2_place_the_umbrella_and_the_ruler/images/ep_2/frame_000567.png,AIRBOT_MMK2_place_the_umbrella_and_the_ruler/actions/ep_2/action_000557to000566.npy
G1edu-u3_pick_leftover_food_ac,,1st,G1edu-u3_pick_leftover_food_ac/images/ep_6/frame_002185.png,G1edu-u3_pick_leftover_food_ac/images/ep_6/frame_002195.png,G1edu-u3_pick_leftover_food_ac/actions/ep_6/action_002185to002194.npy
G1edu-u3_pick_crumpled_paper_aa,,1st,G1edu-u3_pick_crumpled_paper_aa/images/ep_9/frame_003493.png,G1edu-u3_pick_crumpled_paper_aa/images/ep_9/frame_003503.png,G1edu-u3_pick_crumpled_paper_aa/actions/ep_9/action_003493to003502.npy
AIRBOT_MMK2_mobile_car,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_mobile_car/images/ep_14/frame_002006.png,AIRBOT_MMK2_mobile_car/images/ep_14/frame_002016.png,AIRBOT_MMK2_mobile_car/actions/ep_14/action_002006to002015.npy
AIRBOT_MMK2_close_the_computer,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_close_the_computer/images/ep_31/frame_004969.png,AIRBOT_MMK2_close_the_computer/images/ep_31/frame_004979.png,AIRBOT_MMK2_close_the_computer/actions/ep_31/action_004969to004978.npy
AIRBOT_MMK2_potato_storage,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_potato_storage/images/ep_26/frame_003748.png,AIRBOT_MMK2_potato_storage/images/ep_26/frame_003758.png,AIRBOT_MMK2_potato_storage/actions/ep_26/action_003748to003757.npy
AIRBOT_MMK2_place_the_basin,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_place_the_basin/images/ep_45/frame_006891.png,AIRBOT_MMK2_place_the_basin/images/ep_45/frame_006901.png,AIRBOT_MMK2_place_the_basin/actions/ep_45/action_006891to006900.npy
AIRBOT_MMK2_place_the_small_bowl_of_canned_food,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_place_the_small_bowl_of_canned_food/images/ep_11/frame_001980.png,AIRBOT_MMK2_place_the_small_bowl_of_canned_food/images/ep_11/frame_001990.png,AIRBOT_MMK2_place_the_small_bowl_of_canned_food/actions/ep_11/action_001980to001989.npy
G1edu-u3_place_apple_c,,1st,G1edu-u3_place_apple_c/images/ep_17/frame_003944.png,G1edu-u3_place_apple_c/images/ep_17/frame_003954.png,G1edu-u3_place_apple_c/actions/ep_17/action_003944to003953.npy
AIRBOT_MMK2_place_the_pliers_and_wallpaper_knife,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_place_the_pliers_and_wallpaper_knife/images/ep_23/frame_003545.png,AIRBOT_MMK2_place_the_pliers_and_wallpaper_knife/images/ep_23/frame_003555.png,AIRBOT_MMK2_place_the_pliers_and_wallpaper_knife/actions/ep_23/action_003545to003554.npy
G1edu-u3_put_the_water_bottle_aq,,1st,G1edu-u3_put_the_water_bottle_aq/images/ep_13/frame_003964.png,G1edu-u3_put_the_water_bottle_aq/images/ep_13/frame_003974.png,G1edu-u3_put_the_water_bottle_aq/actions/ep_13/action_003964to003973.npy
G1edu-u3_little_tray_storage_apple_b,,1st,G1edu-u3_little_tray_storage_apple_b/images/ep_3/frame_000947.png,G1edu-u3_little_tray_storage_apple_b/images/ep_3/frame_000957.png,G1edu-u3_little_tray_storage_apple_b/actions/ep_3/action_000947to000956.npy
G1edu-u3_pick_leftover_food_ac,,1st,G1edu-u3_pick_leftover_food_ac/images/ep_6/frame_002245.png,G1edu-u3_pick_leftover_food_ac/images/ep_6/frame_002255.png,G1edu-u3_pick_leftover_food_ac/actions/ep_6/action_002245to002254.npy
AIRBOT_MMK2_place_the_pliers_and_wallpaper_knife,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_place_the_pliers_and_wallpaper_knife/images/ep_16/frame_002745.png,AIRBOT_MMK2_place_the_pliers_and_wallpaper_knife/images/ep_16/frame_002755.png,AIRBOT_MMK2_place_the_pliers_and_wallpaper_knife/actions/ep_16/action_002745to002754.npy
G1edu-u3_pick_crumpled_paper_aa,,1st,G1edu-u3_pick_crumpled_paper_aa/images/ep_0/frame_000300.png,G1edu-u3_pick_crumpled_paper_aa/images/ep_0/frame_000310.png,G1edu-u3_pick_crumpled_paper_aa/actions/ep_0/action_000300to000309.npy
AIRBOT_MMK2_square_arrangement,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_square_arrangement/images/ep_10/frame_001596.png,AIRBOT_MMK2_square_arrangement/images/ep_10/frame_001606.png,AIRBOT_MMK2_square_arrangement/actions/ep_10/action_001596to001605.npy
G1edu-u3_put_the_lemon_af,,1st,G1edu-u3_put_the_lemon_af/images/ep_16/frame_002852.png,G1edu-u3_put_the_lemon_af/images/ep_16/frame_002862.png,G1edu-u3_put_the_lemon_af/actions/ep_16/action_002852to002861.npy
G1edu-u3_tray_storage_lemon_a,,1st,G1edu-u3_tray_storage_lemon_a/images/ep_2/frame_000474.png,G1edu-u3_tray_storage_lemon_a/images/ep_2/frame_000484.png,G1edu-u3_tray_storage_lemon_a/actions/ep_2/action_000474to000483.npy
AIRBOT_MMK2_mobile_car,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_mobile_car/images/ep_32/frame_004415.png,AIRBOT_MMK2_mobile_car/images/ep_32/frame_004425.png,AIRBOT_MMK2_mobile_car/actions/ep_32/action_004415to004424.npy
AIRBOT_MMK2_storage_tissue_paper,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_storage_tissue_paper/images/ep_48/frame_006818.png,AIRBOT_MMK2_storage_tissue_paper/images/ep_48/frame_006828.png,AIRBOT_MMK2_storage_tissue_paper/actions/ep_48/action_006818to006827.npy
G1edu-u3_pick_up_the_toy_ai,,1st,G1edu-u3_pick_up_the_toy_ai/images/ep_3/frame_001002.png,G1edu-u3_pick_up_the_toy_ai/images/ep_3/frame_001012.png,G1edu-u3_pick_up_the_toy_ai/actions/ep_3/action_001002to001011.npy
G1edu-u3_pick_up_the_toy_ai,,1st,G1edu-u3_pick_up_the_toy_ai/images/ep_4/frame_001674.png,G1edu-u3_pick_up_the_toy_ai/images/ep_4/frame_001684.png,G1edu-u3_pick_up_the_toy_ai/actions/ep_4/action_001674to001683.npy
G1edu-u3_pick_cup_a,,1st,G1edu-u3_pick_cup_a/images/ep_6/frame_002219.png,G1edu-u3_pick_cup_a/images/ep_6/frame_002229.png,G1edu-u3_pick_cup_a/actions/ep_6/action_002219to002228.npy
AIRBOT_MMK2_potato_storage,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_potato_storage/images/ep_20/frame_002932.png,AIRBOT_MMK2_potato_storage/images/ep_20/frame_002942.png,AIRBOT_MMK2_potato_storage/actions/ep_20/action_002932to002941.npy
G1edu-u3_pick_empty_bottle_ab,,1st,G1edu-u3_pick_empty_bottle_ab/images/ep_6/frame_001971.png,G1edu-u3_pick_empty_bottle_ab/images/ep_6/frame_001981.png,G1edu-u3_pick_empty_bottle_ab/actions/ep_6/action_001971to001980.npy
G1edu-u3_place_plastic_bowl_ag,,1st,G1edu-u3_place_plastic_bowl_ag/images/ep_20/frame_003843.png,G1edu-u3_place_plastic_bowl_ag/images/ep_20/frame_003853.png,G1edu-u3_place_plastic_bowl_ag/actions/ep_20/action_003843to003852.npy
G1edu-u3_pick_cup_a,,1st,G1edu-u3_pick_cup_a/images/ep_15/frame_005257.png,G1edu-u3_pick_cup_a/images/ep_15/frame_005267.png,G1edu-u3_pick_cup_a/actions/ep_15/action_005257to005266.npy
leju_robot_hotel_services_ah,leju_robot,1st,leju_robot_hotel_services_ah/images/ep_13/frame_002619.png,leju_robot_hotel_services_ah/images/ep_13/frame_002629.png,leju_robot_hotel_services_ah/actions/ep_13/action_002619to002628.npy
R1_Lite_move_the_position_of_the_apple,galaxea_r1_lite,1st,R1_Lite_move_the_position_of_the_apple/images/ep_19/frame_003236.png,R1_Lite_move_the_position_of_the_apple/images/ep_19/frame_003246.png,R1_Lite_move_the_position_of_the_apple/actions/ep_19/action_003236to003245.npy
G1edu-u3_place_bottle_c,,1st,G1edu-u3_place_bottle_c/images/ep_2/frame_000599.png,G1edu-u3_place_bottle_c/images/ep_2/frame_000609.png,G1edu-u3_place_bottle_c/actions/ep_2/action_000599to000608.npy
AIRBOT_MMK2_place_the_umbrella_and_the_ruler,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_place_the_umbrella_and_the_ruler/images/ep_16/frame_002952.png,AIRBOT_MMK2_place_the_umbrella_and_the_ruler/images/ep_16/frame_002962.png,AIRBOT_MMK2_place_the_umbrella_and_the_ruler/actions/ep_16/action_002952to002961.npy
AIRBOT_MMK2_beauty_sponge_and_cake_to_place,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_beauty_sponge_and_cake_to_place/images/ep_31/frame_004930.png,AIRBOT_MMK2_beauty_sponge_and_cake_to_place/images/ep_31/frame_004940.png,AIRBOT_MMK2_beauty_sponge_and_cake_to_place/actions/ep_31/action_004930to004939.npy
AIRBOT_MMK2_place_the_shark_toys_and_gold_bars,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_place_the_shark_toys_and_gold_bars/images/ep_39/frame_005064.png,AIRBOT_MMK2_place_the_shark_toys_and_gold_bars/images/ep_39/frame_005074.png,AIRBOT_MMK2_place_the_shark_toys_and_gold_bars/actions/ep_39/action_005064to005073.npy
AIRBOT_MMK2_mobile_car,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_mobile_car/images/ep_7/frame_001102.png,AIRBOT_MMK2_mobile_car/images/ep_7/frame_001112.png,AIRBOT_MMK2_mobile_car/actions/ep_7/action_001102to001111.npy
AIRBOT_MMK2_place_the_pliers_and_wallpaper_knife,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_place_the_pliers_and_wallpaper_knife/images/ep_48/frame_008005.png,AIRBOT_MMK2_place_the_pliers_and_wallpaper_knife/images/ep_48/frame_008015.png,AIRBOT_MMK2_place_the_pliers_and_wallpaper_knife/actions/ep_48/action_008005to008014.npy
G1edu-u3_pick_crumpled_paper_aa,,1st,G1edu-u3_pick_crumpled_paper_aa/images/ep_9/frame_003333.png,G1edu-u3_pick_crumpled_paper_aa/images/ep_9/frame_003343.png,G1edu-u3_pick_crumpled_paper_aa/actions/ep_9/action_003333to003342.npy
AIRBOT_MMK2_place_the_umbrella_and_the_ruler,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_place_the_umbrella_and_the_ruler/images/ep_28/frame_004875.png,AIRBOT_MMK2_place_the_umbrella_and_the_ruler/images/ep_28/frame_004885.png,AIRBOT_MMK2_place_the_umbrella_and_the_ruler/actions/ep_28/action_004875to004884.npy
G1edu-u3_pick_cup_a,,1st,G1edu-u3_pick_cup_a/images/ep_12/frame_004062.png,G1edu-u3_pick_cup_a/images/ep_12/frame_004072.png,G1edu-u3_pick_cup_a/actions/ep_12/action_004062to004071.npy
G1edu-u3_put_the_cup_b,,1st,G1edu-u3_put_the_cup_b/images/ep_18/frame_003926.png,G1edu-u3_put_the_cup_b/images/ep_18/frame_003936.png,G1edu-u3_put_the_cup_b/actions/ep_18/action_003926to003935.npy
G1edu-u3_little_tray_storage_apple_b,,1st,G1edu-u3_little_tray_storage_apple_b/images/ep_3/frame_000917.png,G1edu-u3_little_tray_storage_apple_b/images/ep_3/frame_000927.png,G1edu-u3_little_tray_storage_apple_b/actions/ep_3/action_000917to000926.npy
G1edu-u3_put_the_bread_aw,,1st,G1edu-u3_put_the_bread_aw/images/ep_8/frame_001519.png,G1edu-u3_put_the_bread_aw/images/ep_8/frame_001529.png,G1edu-u3_put_the_bread_aw/actions/ep_8/action_001519to001528.npy
AIRBOT_MMK2_desktop_storage,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_desktop_storage/images/ep_12/frame_003741.png,AIRBOT_MMK2_desktop_storage/images/ep_12/frame_003751.png,AIRBOT_MMK2_desktop_storage/actions/ep_12/action_003741to003750.npy
G1edu-u3_tray_storage_lemon_a,,1st,G1edu-u3_tray_storage_lemon_a/images/ep_6/frame_001159.png,G1edu-u3_tray_storage_lemon_a/images/ep_6/frame_001169.png,G1edu-u3_tray_storage_lemon_a/actions/ep_6/action_001159to001168.npy
G1edu-u3_put_the_lemon_af,,1st,G1edu-u3_put_the_lemon_af/images/ep_17/frame_003153.png,G1edu-u3_put_the_lemon_af/images/ep_17/frame_003163.png,G1edu-u3_put_the_lemon_af/actions/ep_17/action_003153to003162.npy
G1edu-u3_place_plastic_bowl_ag,,1st,G1edu-u3_place_plastic_bowl_ag/images/ep_9/frame_001836.png,G1edu-u3_place_plastic_bowl_ag/images/ep_9/frame_001846.png,G1edu-u3_place_plastic_bowl_ag/actions/ep_9/action_001836to001845.npy
G1edu-u3_place_plastic_bowl_ag,,1st,G1edu-u3_place_plastic_bowl_ag/images/ep_16/frame_003092.png,G1edu-u3_place_plastic_bowl_ag/images/ep_16/frame_003102.png,G1edu-u3_place_plastic_bowl_ag/actions/ep_16/action_003092to003101.npy
G1edu-u3_place_apple_c,,1st,G1edu-u3_place_apple_c/images/ep_10/frame_002440.png,G1edu-u3_place_apple_c/images/ep_10/frame_002450.png,G1edu-u3_place_apple_c/actions/ep_10/action_002440to002449.npy
G1edu-u3_pick_crumpled_paper_aa,,1st,G1edu-u3_pick_crumpled_paper_aa/images/ep_9/frame_003393.png,G1edu-u3_pick_crumpled_paper_aa/images/ep_9/frame_003403.png,G1edu-u3_pick_crumpled_paper_aa/actions/ep_9/action_003393to003402.npy
AIRBOT_MMK2_mobile_car,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_mobile_car/images/ep_16/frame_002383.png,AIRBOT_MMK2_mobile_car/images/ep_16/frame_002393.png,AIRBOT_MMK2_mobile_car/actions/ep_16/action_002383to002392.npy
G1edu-u3_place_plastic_bowl_ag,,1st,G1edu-u3_place_plastic_bowl_ag/images/ep_15/frame_002981.png,G1edu-u3_place_plastic_bowl_ag/images/ep_15/frame_002991.png,G1edu-u3_place_plastic_bowl_ag/actions/ep_15/action_002981to002990.npy
G1edu-u3_place_metal_bowl_af,,1st,G1edu-u3_place_metal_bowl_af/images/ep_10/frame_001773.png,G1edu-u3_place_metal_bowl_af/images/ep_10/frame_001783.png,G1edu-u3_place_metal_bowl_af/actions/ep_10/action_001773to001782.npy
Cobot_Magic_turn_on_the_bulb,agilex_cobot_decoupled_magic,1st,Cobot_Magic_turn_on_the_bulb/images/ep_0/frame_000010.png,Cobot_Magic_turn_on_the_bulb/images/ep_0/frame_000020.png,Cobot_Magic_turn_on_the_bulb/actions/ep_0/action_000010to000019.npy
AIRBOT_MMK2_mobile_car,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_mobile_car/images/ep_25/frame_003575.png,AIRBOT_MMK2_mobile_car/images/ep_25/frame_003585.png,AIRBOT_MMK2_mobile_car/actions/ep_25/action_003575to003584.npy
G1edu-u3_place_plastic_bowl_ag,,1st,G1edu-u3_place_plastic_bowl_ag/images/ep_5/frame_001121.png,G1edu-u3_place_plastic_bowl_ag/images/ep_5/frame_001131.png,G1edu-u3_place_plastic_bowl_ag/actions/ep_5/action_001121to001130.npy
AIRBOT_MMK2_place_the_basin,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_place_the_basin/images/ep_28/frame_004752.png,AIRBOT_MMK2_place_the_basin/images/ep_28/frame_004762.png,AIRBOT_MMK2_place_the_basin/actions/ep_28/action_004752to004761.npy
AIRBOT_MMK2_place_the_small_bowl_of_canned_food,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_place_the_small_bowl_of_canned_food/images/ep_14/frame_002368.png,AIRBOT_MMK2_place_the_small_bowl_of_canned_food/images/ep_14/frame_002378.png,AIRBOT_MMK2_place_the_small_bowl_of_canned_food/actions/ep_14/action_002368to002377.npy
AIRBOT_MMK2_take_down_paper_cup,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_take_down_paper_cup/images/ep_19/frame_002968.png,AIRBOT_MMK2_take_down_paper_cup/images/ep_19/frame_002978.png,AIRBOT_MMK2_take_down_paper_cup/actions/ep_19/action_002968to002977.npy
AIRBOT_MMK2_place_the_shark_toys_and_gold_bars,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_place_the_shark_toys_and_gold_bars/images/ep_4/frame_000777.png,AIRBOT_MMK2_place_the_shark_toys_and_gold_bars/images/ep_4/frame_000787.png,AIRBOT_MMK2_place_the_shark_toys_and_gold_bars/actions/ep_4/action_000777to000786.npy
G1edu-u3_place_metal_bowl_af,,1st,G1edu-u3_place_metal_bowl_af/images/ep_29/frame_004841.png,G1edu-u3_place_metal_bowl_af/images/ep_29/frame_004851.png,G1edu-u3_place_metal_bowl_af/actions/ep_29/action_004841to004850.npy
G1edu-u3_put_the_toy_ap,,1st,G1edu-u3_put_the_toy_ap/images/ep_5/frame_001468.png,G1edu-u3_put_the_toy_ap/images/ep_5/frame_001478.png,G1edu-u3_put_the_toy_ap/actions/ep_5/action_001468to001477.npy
G1edu-u3_pick_empty_bottle_ab,,1st,G1edu-u3_pick_empty_bottle_ab/images/ep_6/frame_002101.png,G1edu-u3_pick_empty_bottle_ab/images/ep_6/frame_002111.png,G1edu-u3_pick_empty_bottle_ab/actions/ep_6/action_002101to002110.npy
G1edu-u3_put_the_cup_b,,1st,G1edu-u3_put_the_cup_b/images/ep_2/frame_000544.png,G1edu-u3_put_the_cup_b/images/ep_2/frame_000554.png,G1edu-u3_put_the_cup_b/actions/ep_2/action_000544to000553.npy
G1edu-u3_put_the_water_bottle_aq,,1st,G1edu-u3_put_the_water_bottle_aq/images/ep_5/frame_001730.png,G1edu-u3_put_the_water_bottle_aq/images/ep_5/frame_001740.png,G1edu-u3_put_the_water_bottle_aq/actions/ep_5/action_001730to001739.npy
AIRBOT_MMK2_square_arrangement,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_square_arrangement/images/ep_48/frame_006522.png,AIRBOT_MMK2_square_arrangement/images/ep_48/frame_006532.png,AIRBOT_MMK2_square_arrangement/actions/ep_48/action_006522to006531.npy
G1edu-u3_put_the_toy_ap,,1st,G1edu-u3_put_the_toy_ap/images/ep_8/frame_002228.png,G1edu-u3_put_the_toy_ap/images/ep_8/frame_002238.png,G1edu-u3_put_the_toy_ap/actions/ep_8/action_002228to002237.npy
AIRBOT_MMK2_place_the_small_bowl_of_canned_food,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_place_the_small_bowl_of_canned_food/images/ep_40/frame_006180.png,AIRBOT_MMK2_place_the_small_bowl_of_canned_food/images/ep_40/frame_006190.png,AIRBOT_MMK2_place_the_small_bowl_of_canned_food/actions/ep_40/action_006180to006189.npy
Cobot_Magic_turn_on_the_bulb,agilex_cobot_decoupled_magic,1st,Cobot_Magic_turn_on_the_bulb/images/ep_0/frame_000000.png,Cobot_Magic_turn_on_the_bulb/images/ep_0/frame_000010.png,Cobot_Magic_turn_on_the_bulb/actions/ep_0/action_000000to000009.npy
R1_Lite_move_the_position_of_the_spoon,galaxea_r1_lite,1st,R1_Lite_move_the_position_of_the_spoon/images/ep_9/frame_002553.png,R1_Lite_move_the_position_of_the_spoon/images/ep_9/frame_002563.png,R1_Lite_move_the_position_of_the_spoon/actions/ep_9/action_002553to002562.npy
AIRBOT_MMK2_close_the_computer,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_close_the_computer/images/ep_37/frame_006025.png,AIRBOT_MMK2_close_the_computer/images/ep_37/frame_006035.png,AIRBOT_MMK2_close_the_computer/actions/ep_37/action_006025to006034.npy
AIRBOT_MMK2_potato_storage,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_potato_storage/images/ep_4/frame_000715.png,AIRBOT_MMK2_potato_storage/images/ep_4/frame_000725.png,AIRBOT_MMK2_potato_storage/actions/ep_4/action_000715to000724.npy
AIRBOT_MMK2_close_the_computer,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_close_the_computer/images/ep_24/frame_003950.png,AIRBOT_MMK2_close_the_computer/images/ep_24/frame_003960.png,AIRBOT_MMK2_close_the_computer/actions/ep_24/action_003950to003959.npy
G1edu-u3_pick_crumpled_paper_aa,,1st,G1edu-u3_pick_crumpled_paper_aa/images/ep_6/frame_002746.png,G1edu-u3_pick_crumpled_paper_aa/images/ep_6/frame_002756.png,G1edu-u3_pick_crumpled_paper_aa/actions/ep_6/action_002746to002755.npy
G1edu-u3_tray_storage_lemon_a,,1st,G1edu-u3_tray_storage_lemon_a/images/ep_7/frame_001332.png,G1edu-u3_tray_storage_lemon_a/images/ep_7/frame_001342.png,G1edu-u3_tray_storage_lemon_a/actions/ep_7/action_001332to001341.npy
G1edu-u3_put_the_lemon_on_the_plate_ah,,1st,G1edu-u3_put_the_lemon_on_the_plate_ah/images/ep_7/frame_001547.png,G1edu-u3_put_the_lemon_on_the_plate_ah/images/ep_7/frame_001557.png,G1edu-u3_put_the_lemon_on_the_plate_ah/actions/ep_7/action_001547to001556.npy
G1edu-u3_pick_empty_bottle_ab,,1st,G1edu-u3_pick_empty_bottle_ab/images/ep_8/frame_002565.png,G1edu-u3_pick_empty_bottle_ab/images/ep_8/frame_002575.png,G1edu-u3_pick_empty_bottle_ab/actions/ep_8/action_002565to002574.npy
G1edu-u3_place_plastic_bowl_ag,,1st,G1edu-u3_place_plastic_bowl_ag/images/ep_1/frame_000317.png,G1edu-u3_place_plastic_bowl_ag/images/ep_1/frame_000327.png,G1edu-u3_place_plastic_bowl_ag/actions/ep_1/action_000317to000326.npy
G1edu-u3_place_metal_bowl_ae,,1st,G1edu-u3_place_metal_bowl_ae/images/ep_20/frame_004584.png,G1edu-u3_place_metal_bowl_ae/images/ep_20/frame_004594.png,G1edu-u3_place_metal_bowl_ae/actions/ep_20/action_004584to004593.npy
