dataset,task_id,episode_id,perspective,robot_type,src_img,tgt_img,action
task_573,573,794747,1st,a2d,task_573/images/ep_794747/frame_000540.png,task_573/images/ep_794747/frame_000585.png,task_573/actions/ep_794747/action_000540to000584.npy
task_604,604,853398,1st,a2d,task_604/images/ep_853398/frame_000225.png,task_604/images/ep_853398/frame_000270.png,task_604/actions/ep_853398/action_000225to000269.npy
task_542,542,776475,1st,a2d,task_542/images/ep_776475/frame_001575.png,task_542/images/ep_776475/frame_001620.png,task_542/actions/ep_776475/action_001575to001619.npy
task_429,429,690957,1st,a2d,task_429/images/ep_690957/frame_000765.png,task_429/images/ep_690957/frame_000810.png,task_429/actions/ep_690957/action_000765to000809.npy
task_388,388,691747,1st,a2d,task_388/images/ep_691747/frame_000630.png,task_388/images/ep_691747/frame_000675.png,task_388/actions/ep_691747/action_000630to000674.npy
task_717,717,921739,1st,a2d,task_717/images/ep_921739/frame_000315.png,task_717/images/ep_921739/frame_000360.png,task_717/actions/ep_921739/action_000315to000359.npy
task_604,604,853863,1st,a2d,task_604/images/ep_853863/frame_000180.png,task_604/images/ep_853863/frame_000225.png,task_604/actions/ep_853863/action_000180to000224.npy
task_446,446,687412,1st,a2d,task_446/images/ep_687412/frame_000315.png,task_446/images/ep_687412/frame_000360.png,task_446/actions/ep_687412/action_000315to000359.npy
task_593,593,803810,1st,a2d,task_593/images/ep_803810/frame_000765.png,task_593/images/ep_803810/frame_000810.png,task_593/actions/ep_803810/action_000765to000809.npy
task_717,717,922197,1st,a2d,task_717/images/ep_922197/frame_000855.png,task_717/images/ep_922197/frame_000900.png,task_717/actions/ep_922197/action_000855to000899.npy
task_587,587,803124,1st,a2d,task_587/images/ep_803124/frame_000225.png,task_587/images/ep_803124/frame_000270.png,task_587/actions/ep_803124/action_000225to000269.npy
task_388,388,691208,1st,a2d,task_388/images/ep_691208/frame_000585.png,task_388/images/ep_691208/frame_000630.png,task_388/actions/ep_691208/action_000585to000629.npy
task_388,388,691706,1st,a2d,task_388/images/ep_691706/frame_001350.png,task_388/images/ep_691706/frame_001395.png,task_388/actions/ep_691706/action_001350to001394.npy
task_584,584,835212,1st,a2d,task_584/images/ep_835212/frame_001665.png,task_584/images/ep_835212/frame_001710.png,task_584/actions/ep_835212/action_001665to001709.npy
task_374,374,668561,1st,a2d,task_374/images/ep_668561/frame_000405.png,task_374/images/ep_668561/frame_000450.png,task_374/actions/ep_668561/action_000405to000449.npy
task_374,374,649550,1st,a2d,task_374/images/ep_649550/frame_000495.png,task_374/images/ep_649550/frame_000540.png,task_374/actions/ep_649550/action_000495to000539.npy
task_429,429,684472,1st,a2d,task_429/images/ep_684472/frame_001080.png,task_429/images/ep_684472/frame_001125.png,task_429/actions/ep_684472/action_001080to001124.npy
task_584,584,814116,1st,a2d,task_584/images/ep_814116/frame_000450.png,task_584/images/ep_814116/frame_000495.png,task_584/actions/ep_814116/action_000450to000494.npy
task_584,584,812628,1st,a2d,task_584/images/ep_812628/frame_000990.png,task_584/images/ep_812628/frame_001035.png,task_584/actions/ep_812628/action_000990to001034.npy
task_388,388,691124,1st,a2d,task_388/images/ep_691124/frame_001215.png,task_388/images/ep_691124/frame_001260.png,task_388/actions/ep_691124/action_001215to001259.npy
task_374,374,648698,1st,a2d,task_374/images/ep_648698/frame_000315.png,task_374/images/ep_648698/frame_000360.png,task_374/actions/ep_648698/action_000315to000359.npy
task_446,446,691002,1st,a2d,task_446/images/ep_691002/frame_001125.png,task_446/images/ep_691002/frame_001170.png,task_446/actions/ep_691002/action_001125to001169.npy
task_374,374,649280,1st,a2d,task_374/images/ep_649280/frame_000225.png,task_374/images/ep_649280/frame_000270.png,task_374/actions/ep_649280/action_000225to000269.npy
task_717,717,922722,1st,a2d,task_717/images/ep_922722/frame_000180.png,task_717/images/ep_922722/frame_000225.png,task_717/actions/ep_922722/action_000180to000224.npy
task_584,584,835212,1st,a2d,task_584/images/ep_835212/frame_000945.png,task_584/images/ep_835212/frame_000990.png,task_584/actions/ep_835212/action_000945to000989.npy
task_575,575,808562,1st,a2d,task_575/images/ep_808562/frame_000540.png,task_575/images/ep_808562/frame_000585.png,task_575/actions/ep_808562/action_000540to000584.npy
task_719,719,921970,1st,a2d,task_719/images/ep_921970/frame_000135.png,task_719/images/ep_921970/frame_000180.png,task_719/actions/ep_921970/action_000135to000179.npy
task_587,587,803677,1st,a2d,task_587/images/ep_803677/frame_000270.png,task_587/images/ep_803677/frame_000315.png,task_587/actions/ep_803677/action_000270to000314.npy
task_542,542,777602,1st,a2d,task_542/images/ep_777602/frame_001530.png,task_542/images/ep_777602/frame_001575.png,task_542/actions/ep_777602/action_001530to001574.npy
task_719,719,921812,1st,a2d,task_719/images/ep_921812/frame_000720.png,task_719/images/ep_921812/frame_000765.png,task_719/actions/ep_921812/action_000720to000764.npy
task_573,573,794946,1st,a2d,task_573/images/ep_794946/frame_000945.png,task_573/images/ep_794946/frame_000990.png,task_573/actions/ep_794946/action_000945to000989.npy
task_446,446,690750,1st,a2d,task_446/images/ep_690750/frame_001305.png,task_446/images/ep_690750/frame_001350.png,task_446/actions/ep_690750/action_001305to001349.npy
task_542,542,775228,1st,a2d,task_542/images/ep_775228/frame_001035.png,task_542/images/ep_775228/frame_001080.png,task_542/actions/ep_775228/action_001035to001079.npy
task_587,587,802519,1st,a2d,task_587/images/ep_802519/frame_000585.png,task_587/images/ep_802519/frame_000630.png,task_587/actions/ep_802519/action_000585to000629.npy
task_374,374,656556,1st,a2d,task_374/images/ep_656556/frame_000405.png,task_374/images/ep_656556/frame_000450.png,task_374/actions/ep_656556/action_000405to000449.npy
task_604,604,854127,1st,a2d,task_604/images/ep_854127/frame_000675.png,task_604/images/ep_854127/frame_000720.png,task_604/actions/ep_854127/action_000675to000719.npy
task_584,584,814262,1st,a2d,task_584/images/ep_814262/frame_000990.png,task_584/images/ep_814262/frame_001035.png,task_584/actions/ep_814262/action_000990to001034.npy
task_567,567,797608,1st,a2d,task_567/images/ep_797608/frame_000675.png,task_567/images/ep_797608/frame_000720.png,task_567/actions/ep_797608/action_000675to000719.npy
task_388,388,685731,1st,a2d,task_388/images/ep_685731/frame_001665.png,task_388/images/ep_685731/frame_001710.png,task_388/actions/ep_685731/action_001665to001709.npy
task_734,734,887127,1st,a2d,task_734/images/ep_887127/frame_000405.png,task_734/images/ep_887127/frame_000450.png,task_734/actions/ep_887127/action_000405to000449.npy
task_582,582,802301,1st,a2d,task_582/images/ep_802301/frame_000450.png,task_582/images/ep_802301/frame_000495.png,task_582/actions/ep_802301/action_000450to000494.npy
task_567,567,801790,1st,a2d,task_567/images/ep_801790/frame_000495.png,task_567/images/ep_801790/frame_000540.png,task_567/actions/ep_801790/action_000495to000539.npy
task_542,542,777731,1st,a2d,task_542/images/ep_777731/frame_000270.png,task_542/images/ep_777731/frame_000315.png,task_542/actions/ep_777731/action_000270to000314.npy
task_374,374,669361,1st,a2d,task_374/images/ep_669361/frame_000405.png,task_374/images/ep_669361/frame_000450.png,task_374/actions/ep_669361/action_000405to000449.npy
task_374,374,669273,1st,a2d,task_374/images/ep_669273/frame_000315.png,task_374/images/ep_669273/frame_000360.png,task_374/actions/ep_669273/action_000315to000359.npy
task_429,429,684497,1st,a2d,task_429/images/ep_684497/frame_000720.png,task_429/images/ep_684497/frame_000765.png,task_429/actions/ep_684497/action_000720to000764.npy
task_604,604,853398,1st,a2d,task_604/images/ep_853398/frame_001620.png,task_604/images/ep_853398/frame_001665.png,task_604/actions/ep_853398/action_001620to001664.npy
task_573,573,795896,1st,a2d,task_573/images/ep_795896/frame_000000.png,task_573/images/ep_795896/frame_000045.png,task_573/actions/ep_795896/action_000000to000044.npy
task_584,584,852597,1st,a2d,task_584/images/ep_852597/frame_001710.png,task_584/images/ep_852597/frame_001755.png,task_584/actions/ep_852597/action_001710to001754.npy
task_582,582,802551,1st,a2d,task_582/images/ep_802551/frame_000225.png,task_582/images/ep_802551/frame_000270.png,task_582/actions/ep_802551/action_000225to000269.npy
task_582,582,803760,1st,a2d,task_582/images/ep_803760/frame_000540.png,task_582/images/ep_803760/frame_000585.png,task_582/actions/ep_803760/action_000540to000584.npy
task_593,593,804106,1st,a2d,task_593/images/ep_804106/frame_001125.png,task_593/images/ep_804106/frame_001170.png,task_593/actions/ep_804106/action_001125to001169.npy
task_593,593,803385,1st,a2d,task_593/images/ep_803385/frame_001170.png,task_593/images/ep_803385/frame_001215.png,task_593/actions/ep_803385/action_001170to001214.npy
task_593,593,802970,1st,a2d,task_593/images/ep_802970/frame_000900.png,task_593/images/ep_802970/frame_000945.png,task_593/actions/ep_802970/action_000900to000944.npy
task_573,573,794719,1st,a2d,task_573/images/ep_794719/frame_000000.png,task_573/images/ep_794719/frame_000045.png,task_573/actions/ep_794719/action_000000to000044.npy
task_567,567,799737,1st,a2d,task_567/images/ep_799737/frame_000225.png,task_567/images/ep_799737/frame_000270.png,task_567/actions/ep_799737/action_000225to000269.npy
task_584,584,814674,1st,a2d,task_584/images/ep_814674/frame_000405.png,task_584/images/ep_814674/frame_000450.png,task_584/actions/ep_814674/action_000405to000449.npy
task_734,734,884987,1st,a2d,task_734/images/ep_884987/frame_000180.png,task_734/images/ep_884987/frame_000225.png,task_734/actions/ep_884987/action_000180to000224.npy
task_717,717,874192,1st,a2d,task_717/images/ep_874192/frame_000315.png,task_717/images/ep_874192/frame_000360.png,task_717/actions/ep_874192/action_000315to000359.npy
task_575,575,807415,1st,a2d,task_575/images/ep_807415/frame_000180.png,task_575/images/ep_807415/frame_000225.png,task_575/actions/ep_807415/action_000180to000224.npy
task_717,717,873588,1st,a2d,task_717/images/ep_873588/frame_000540.png,task_717/images/ep_873588/frame_000585.png,task_717/actions/ep_873588/action_000540to000584.npy
task_734,734,885454,1st,a2d,task_734/images/ep_885454/frame_000495.png,task_734/images/ep_885454/frame_000540.png,task_734/actions/ep_885454/action_000495to000539.npy
task_573,573,795731,1st,a2d,task_573/images/ep_795731/frame_001440.png,task_573/images/ep_795731/frame_001485.png,task_573/actions/ep_795731/action_001440to001484.npy
task_717,717,922040,1st,a2d,task_717/images/ep_922040/frame_000360.png,task_717/images/ep_922040/frame_000405.png,task_717/actions/ep_922040/action_000360to000404.npy
task_734,734,885053,1st,a2d,task_734/images/ep_885053/frame_000360.png,task_734/images/ep_885053/frame_000405.png,task_734/actions/ep_885053/action_000360to000404.npy
task_446,446,690902,1st,a2d,task_446/images/ep_690902/frame_000540.png,task_446/images/ep_690902/frame_000585.png,task_446/actions/ep_690902/action_000540to000584.npy
task_582,582,803503,1st,a2d,task_582/images/ep_803503/frame_000270.png,task_582/images/ep_803503/frame_000315.png,task_582/actions/ep_803503/action_000270to000314.npy
task_734,734,882419,1st,a2d,task_734/images/ep_882419/frame_000315.png,task_734/images/ep_882419/frame_000360.png,task_734/actions/ep_882419/action_000315to000359.npy
task_587,587,804175,1st,a2d,task_587/images/ep_804175/frame_000180.png,task_587/images/ep_804175/frame_000225.png,task_587/actions/ep_804175/action_000180to000224.npy
task_717,717,872435,1st,a2d,task_717/images/ep_872435/frame_000315.png,task_717/images/ep_872435/frame_000360.png,task_717/actions/ep_872435/action_000315to000359.npy
task_429,429,686801,1st,a2d,task_429/images/ep_686801/frame_001215.png,task_429/images/ep_686801/frame_001260.png,task_429/actions/ep_686801/action_001215to001259.npy
task_717,717,921857,1st,a2d,task_717/images/ep_921857/frame_000000.png,task_717/images/ep_921857/frame_000045.png,task_717/actions/ep_921857/action_000000to000044.npy
task_717,717,874202,1st,a2d,task_717/images/ep_874202/frame_000090.png,task_717/images/ep_874202/frame_000135.png,task_717/actions/ep_874202/action_000090to000134.npy
task_619,619,839924,1st,a2d,task_619/images/ep_839924/frame_000180.png,task_619/images/ep_839924/frame_000225.png,task_619/actions/ep_839924/action_000180to000224.npy
task_587,587,805607,1st,a2d,task_587/images/ep_805607/frame_000945.png,task_587/images/ep_805607/frame_000990.png,task_587/actions/ep_805607/action_000945to000989.npy
task_587,587,805445,1st,a2d,task_587/images/ep_805445/frame_000315.png,task_587/images/ep_805445/frame_000360.png,task_587/actions/ep_805445/action_000315to000359.npy
task_590,590,803220,1st,a2d,task_590/images/ep_803220/frame_000810.png,task_590/images/ep_803220/frame_000855.png,task_590/actions/ep_803220/action_000810to000854.npy
task_719,719,874240,1st,a2d,task_719/images/ep_874240/frame_000135.png,task_719/images/ep_874240/frame_000180.png,task_719/actions/ep_874240/action_000135to000179.npy
task_446,446,691089,1st,a2d,task_446/images/ep_691089/frame_000405.png,task_446/images/ep_691089/frame_000450.png,task_446/actions/ep_691089/action_000405to000449.npy
task_604,604,853863,1st,a2d,task_604/images/ep_853863/frame_000090.png,task_604/images/ep_853863/frame_000135.png,task_604/actions/ep_853863/action_000090to000134.npy
task_719,719,874040,1st,a2d,task_719/images/ep_874040/frame_000675.png,task_719/images/ep_874040/frame_000720.png,task_719/actions/ep_874040/action_000675to000719.npy
task_734,734,885969,1st,a2d,task_734/images/ep_885969/frame_000225.png,task_734/images/ep_885969/frame_000270.png,task_734/actions/ep_885969/action_000225to000269.npy
task_584,584,835078,1st,a2d,task_584/images/ep_835078/frame_001080.png,task_584/images/ep_835078/frame_001125.png,task_584/actions/ep_835078/action_001080to001124.npy
task_593,593,805744,1st,a2d,task_593/images/ep_805744/frame_001170.png,task_593/images/ep_805744/frame_001215.png,task_593/actions/ep_805744/action_001170to001214.npy
task_590,590,802537,1st,a2d,task_590/images/ep_802537/frame_000675.png,task_590/images/ep_802537/frame_000720.png,task_590/actions/ep_802537/action_000675to000719.npy
task_619,619,840000,1st,a2d,task_619/images/ep_840000/frame_000270.png,task_619/images/ep_840000/frame_000315.png,task_619/actions/ep_840000/action_000270to000314.npy
task_719,719,921970,1st,a2d,task_719/images/ep_921970/frame_000675.png,task_719/images/ep_921970/frame_000720.png,task_719/actions/ep_921970/action_000675to000719.npy
task_575,575,806316,1st,a2d,task_575/images/ep_806316/frame_000630.png,task_575/images/ep_806316/frame_000675.png,task_575/actions/ep_806316/action_000630to000674.npy
task_590,590,803206,1st,a2d,task_590/images/ep_803206/frame_000945.png,task_590/images/ep_803206/frame_000990.png,task_590/actions/ep_803206/action_000945to000989.npy
task_388,388,690731,1st,a2d,task_388/images/ep_690731/frame_000315.png,task_388/images/ep_690731/frame_000360.png,task_388/actions/ep_690731/action_000315to000359.npy
task_785,785,921558,1st,a2d,task_785/images/ep_921558/frame_002610.png,task_785/images/ep_921558/frame_002655.png,task_785/actions/ep_921558/action_002610to002654.npy
task_587,587,805639,1st,a2d,task_587/images/ep_805639/frame_000720.png,task_587/images/ep_805639/frame_000765.png,task_587/actions/ep_805639/action_000720to000764.npy
task_587,587,804378,1st,a2d,task_587/images/ep_804378/frame_000450.png,task_587/images/ep_804378/frame_000495.png,task_587/actions/ep_804378/action_000450to000494.npy
task_584,584,852787,1st,a2d,task_584/images/ep_852787/frame_000180.png,task_584/images/ep_852787/frame_000225.png,task_584/actions/ep_852787/action_000180to000224.npy
task_542,542,778635,1st,a2d,task_542/images/ep_778635/frame_000405.png,task_542/images/ep_778635/frame_000450.png,task_542/actions/ep_778635/action_000405to000449.npy
task_719,719,874346,1st,a2d,task_719/images/ep_874346/frame_000180.png,task_719/images/ep_874346/frame_000225.png,task_719/actions/ep_874346/action_000180to000224.npy
task_429,429,690712,1st,a2d,task_429/images/ep_690712/frame_001170.png,task_429/images/ep_690712/frame_001215.png,task_429/actions/ep_690712/action_001170to001214.npy
task_567,567,799611,1st,a2d,task_567/images/ep_799611/frame_000045.png,task_567/images/ep_799611/frame_000090.png,task_567/actions/ep_799611/action_000045to000089.npy
task_785,785,919444,1st,a2d,task_785/images/ep_919444/frame_001620.png,task_785/images/ep_919444/frame_001665.png,task_785/actions/ep_919444/action_001620to001664.npy
task_593,593,805737,1st,a2d,task_593/images/ep_805737/frame_000630.png,task_593/images/ep_805737/frame_000675.png,task_593/actions/ep_805737/action_000630to000674.npy
task_542,542,776958,1st,a2d,task_542/images/ep_776958/frame_000045.png,task_542/images/ep_776958/frame_000090.png,task_542/actions/ep_776958/action_000045to000089.npy
task_582,582,803828,1st,a2d,task_582/images/ep_803828/frame_000180.png,task_582/images/ep_803828/frame_000225.png,task_582/actions/ep_803828/action_000180to000224.npy
task_587,587,804487,1st,a2d,task_587/images/ep_804487/frame_000045.png,task_587/images/ep_804487/frame_000090.png,task_587/actions/ep_804487/action_000045to000089.npy
task_584,584,853610,1st,a2d,task_584/images/ep_853610/frame_001530.png,task_584/images/ep_853610/frame_001575.png,task_584/actions/ep_853610/action_001530to001574.npy
task_582,582,805076,1st,a2d,task_582/images/ep_805076/frame_000225.png,task_582/images/ep_805076/frame_000270.png,task_582/actions/ep_805076/action_000225to000269.npy
task_575,575,806273,1st,a2d,task_575/images/ep_806273/frame_000315.png,task_575/images/ep_806273/frame_000360.png,task_575/actions/ep_806273/action_000315to000359.npy
task_429,429,690824,1st,a2d,task_429/images/ep_690824/frame_000720.png,task_429/images/ep_690824/frame_000765.png,task_429/actions/ep_690824/action_000720to000764.npy
task_717,717,874011,1st,a2d,task_717/images/ep_874011/frame_000090.png,task_717/images/ep_874011/frame_000135.png,task_717/actions/ep_874011/action_000090to000134.npy
task_446,446,690977,1st,a2d,task_446/images/ep_690977/frame_000945.png,task_446/images/ep_690977/frame_000990.png,task_446/actions/ep_690977/action_000945to000989.npy
task_619,619,839420,1st,a2d,task_619/images/ep_839420/frame_000360.png,task_619/images/ep_839420/frame_000405.png,task_619/actions/ep_839420/action_000360to000404.npy
task_593,593,803561,1st,a2d,task_593/images/ep_803561/frame_000810.png,task_593/images/ep_803561/frame_000855.png,task_593/actions/ep_803561/action_000810to000854.npy
task_593,593,805540,1st,a2d,task_593/images/ep_805540/frame_000315.png,task_593/images/ep_805540/frame_000360.png,task_593/actions/ep_805540/action_000315to000359.npy
task_717,717,876707,1st,a2d,task_717/images/ep_876707/frame_000540.png,task_717/images/ep_876707/frame_000585.png,task_717/actions/ep_876707/action_000540to000584.npy
task_590,590,805612,1st,a2d,task_590/images/ep_805612/frame_000945.png,task_590/images/ep_805612/frame_000990.png,task_590/actions/ep_805612/action_000945to000989.npy
task_429,429,690840,1st,a2d,task_429/images/ep_690840/frame_001170.png,task_429/images/ep_690840/frame_001215.png,task_429/actions/ep_690840/action_001170to001214.npy
task_584,584,853567,1st,a2d,task_584/images/ep_853567/frame_001395.png,task_584/images/ep_853567/frame_001440.png,task_584/actions/ep_853567/action_001395to001439.npy
task_717,717,873530,1st,a2d,task_717/images/ep_873530/frame_000225.png,task_717/images/ep_873530/frame_000270.png,task_717/actions/ep_873530/action_000225to000269.npy
task_446,446,687527,1st,a2d,task_446/images/ep_687527/frame_001215.png,task_446/images/ep_687527/frame_001260.png,task_446/actions/ep_687527/action_001215to001259.npy
task_734,734,887234,1st,a2d,task_734/images/ep_887234/frame_000225.png,task_734/images/ep_887234/frame_000270.png,task_734/actions/ep_887234/action_000225to000269.npy
task_584,584,853575,1st,a2d,task_584/images/ep_853575/frame_000855.png,task_584/images/ep_853575/frame_000900.png,task_584/actions/ep_853575/action_000855to000899.npy
task_717,717,873989,1st,a2d,task_717/images/ep_873989/frame_000630.png,task_717/images/ep_873989/frame_000675.png,task_717/actions/ep_873989/action_000630to000674.npy
task_734,734,891062,1st,a2d,task_734/images/ep_891062/frame_000180.png,task_734/images/ep_891062/frame_000225.png,task_734/actions/ep_891062/action_000180to000224.npy
task_717,717,871579,1st,a2d,task_717/images/ep_871579/frame_000765.png,task_717/images/ep_871579/frame_000810.png,task_717/actions/ep_871579/action_000765to000809.npy
task_388,388,691448,1st,a2d,task_388/images/ep_691448/frame_000990.png,task_388/images/ep_691448/frame_001035.png,task_388/actions/ep_691448/action_000990to001034.npy
task_785,785,919513,1st,a2d,task_785/images/ep_919513/frame_003825.png,task_785/images/ep_919513/frame_003870.png,task_785/actions/ep_919513/action_003825to003869.npy
task_584,584,814452,1st,a2d,task_584/images/ep_814452/frame_001125.png,task_584/images/ep_814452/frame_001170.png,task_584/actions/ep_814452/action_001125to001169.npy
task_446,446,687557,1st,a2d,task_446/images/ep_687557/frame_001485.png,task_446/images/ep_687557/frame_001530.png,task_446/actions/ep_687557/action_001485to001529.npy
task_590,590,802503,1st,a2d,task_590/images/ep_802503/frame_000630.png,task_590/images/ep_802503/frame_000675.png,task_590/actions/ep_802503/action_000630to000674.npy
task_785,785,915722,1st,a2d,task_785/images/ep_915722/frame_003105.png,task_785/images/ep_915722/frame_003150.png,task_785/actions/ep_915722/action_003105to003149.npy
task_717,717,873148,1st,a2d,task_717/images/ep_873148/frame_000495.png,task_717/images/ep_873148/frame_000540.png,task_717/actions/ep_873148/action_000495to000539.npy
task_429,429,684524,1st,a2d,task_429/images/ep_684524/frame_001170.png,task_429/images/ep_684524/frame_001215.png,task_429/actions/ep_684524/action_001170to001214.npy
task_542,542,775749,1st,a2d,task_542/images/ep_775749/frame_000180.png,task_542/images/ep_775749/frame_000225.png,task_542/actions/ep_775749/action_000180to000224.npy
task_388,388,691070,1st,a2d,task_388/images/ep_691070/frame_000810.png,task_388/images/ep_691070/frame_000855.png,task_388/actions/ep_691070/action_000810to000854.npy
task_587,587,803296,1st,a2d,task_587/images/ep_803296/frame_001080.png,task_587/images/ep_803296/frame_001125.png,task_587/actions/ep_803296/action_001080to001124.npy
task_719,719,874372,1st,a2d,task_719/images/ep_874372/frame_000135.png,task_719/images/ep_874372/frame_000180.png,task_719/actions/ep_874372/action_000135to000179.npy
task_388,388,690731,1st,a2d,task_388/images/ep_690731/frame_000135.png,task_388/images/ep_690731/frame_000180.png,task_388/actions/ep_690731/action_000135to000179.npy
task_429,429,690680,1st,a2d,task_429/images/ep_690680/frame_000000.png,task_429/images/ep_690680/frame_000045.png,task_429/actions/ep_690680/action_000000to000044.npy
task_604,604,853863,1st,a2d,task_604/images/ep_853863/frame_000360.png,task_604/images/ep_853863/frame_000405.png,task_604/actions/ep_853863/action_000360to000404.npy
task_619,619,839428,1st,a2d,task_619/images/ep_839428/frame_000225.png,task_619/images/ep_839428/frame_000270.png,task_619/actions/ep_839428/action_000225to000269.npy
task_542,542,778402,1st,a2d,task_542/images/ep_778402/frame_000045.png,task_542/images/ep_778402/frame_000090.png,task_542/actions/ep_778402/action_000045to000089.npy
task_575,575,806140,1st,a2d,task_575/images/ep_806140/frame_000270.png,task_575/images/ep_806140/frame_000315.png,task_575/actions/ep_806140/action_000270to000314.npy
task_619,619,840116,1st,a2d,task_619/images/ep_840116/frame_000315.png,task_619/images/ep_840116/frame_000360.png,task_619/actions/ep_840116/action_000315to000359.npy
task_587,587,805691,1st,a2d,task_587/images/ep_805691/frame_001080.png,task_587/images/ep_805691/frame_001125.png,task_587/actions/ep_805691/action_001080to001124.npy
task_388,388,691170,1st,a2d,task_388/images/ep_691170/frame_000585.png,task_388/images/ep_691170/frame_000630.png,task_388/actions/ep_691170/action_000585to000629.npy
task_374,374,648995,1st,a2d,task_374/images/ep_648995/frame_000450.png,task_374/images/ep_648995/frame_000495.png,task_374/actions/ep_648995/action_000450to000494.npy
task_582,582,803747,1st,a2d,task_582/images/ep_803747/frame_000135.png,task_582/images/ep_803747/frame_000180.png,task_582/actions/ep_803747/action_000135to000179.npy
task_374,374,669292,1st,a2d,task_374/images/ep_669292/frame_000090.png,task_374/images/ep_669292/frame_000135.png,task_374/actions/ep_669292/action_000090to000134.npy
task_584,584,852748,1st,a2d,task_584/images/ep_852748/frame_001530.png,task_584/images/ep_852748/frame_001575.png,task_584/actions/ep_852748/action_001530to001574.npy
task_719,719,874346,1st,a2d,task_719/images/ep_874346/frame_000585.png,task_719/images/ep_874346/frame_000630.png,task_719/actions/ep_874346/action_000585to000629.npy
task_590,590,803919,1st,a2d,task_590/images/ep_803919/frame_000900.png,task_590/images/ep_803919/frame_000945.png,task_590/actions/ep_803919/action_000900to000944.npy
task_719,719,927802,1st,a2d,task_719/images/ep_927802/frame_000000.png,task_719/images/ep_927802/frame_000045.png,task_719/actions/ep_927802/action_000000to000044.npy
task_719,719,876762,1st,a2d,task_719/images/ep_876762/frame_000405.png,task_719/images/ep_876762/frame_000450.png,task_719/actions/ep_876762/action_000405to000449.npy
task_719,719,921740,1st,a2d,task_719/images/ep_921740/frame_000405.png,task_719/images/ep_921740/frame_000450.png,task_719/actions/ep_921740/action_000405to000449.npy
task_446,446,691126,1st,a2d,task_446/images/ep_691126/frame_000225.png,task_446/images/ep_691126/frame_000270.png,task_446/actions/ep_691126/action_000225to000269.npy
task_542,542,777400,1st,a2d,task_542/images/ep_777400/frame_001350.png,task_542/images/ep_777400/frame_001395.png,task_542/actions/ep_777400/action_001350to001394.npy
task_584,584,835189,1st,a2d,task_584/images/ep_835189/frame_000270.png,task_584/images/ep_835189/frame_000315.png,task_584/actions/ep_835189/action_000270to000314.npy
task_374,374,656486,1st,a2d,task_374/images/ep_656486/frame_000045.png,task_374/images/ep_656486/frame_000090.png,task_374/actions/ep_656486/action_000045to000089.npy
task_604,604,853863,1st,a2d,task_604/images/ep_853863/frame_000405.png,task_604/images/ep_853863/frame_000450.png,task_604/actions/ep_853863/action_000405to000449.npy
